================================================================================
RAPPORT DE TRADING - 2025-03-21 10:12:04
================================================================================

Période analysée: derniers 2 jours
Monnaie de référence: USDC
Environnement: Testnet

================================================================================
SOLDES ACTUELS
================================================================================

Solde USDC: 9921.78

Détail des soldes:
+----------+---------------+---------------+---------------+
|  Actif   |   Disponible  |    En ordre   |     Total     |
|NOTUSDC   |0.34           |0.0000         |0.34           |
|ZROUSDC   |-0.08          |0.0000         |-0.08          |
|PENGUUSDC |2.44           |0.0000         |2.44           |
|DOGSUSDC  |0.20           |0.0000         |0.20           |
|INJUSDC   |0.24           |0.0000         |0.24           |
|LAYERUSDC |0.11           |0.0000         |0.11           |
|GPSUSDC   |0.00           |0.0000         |0.00           |
|RAYUSDC   |-0.17          |0.0000         |-0.17          |
|TOTAL     |2.98           |0.0000         |2.98           |
+----------+---------------+---------------+---------------+

================================================================================
RÉSUMÉ QUOTIDIEN
================================================================================
+------------+---------------+---------------+------------+---------------+
|    Date    | Valeur achetée| Valeur vendue |   Frais    |    P/L Net    |
+------------+---------------+---------------+------------+---------------+
|2025-03-19  |101.63         |59.74          |0.0000      |-41.90         |
|2025-03-20  |907.55         |793.00         |0.0000      |-114.55        |
|TOTAL       |1009.18        |852.73         |0.0000      |-156.45        |
+------------+---------------+---------------+------------+---------------+

================================================================================
RÉSUMÉ DES ORDRES
================================================================================

Nombre total d'ordres: 38

Distribution par statut:
  FILLED: 37 (97.4%)
  EXPIRED: 1 (2.6%)

================================================================================
GRAPHIQUES
================================================================================

Les graphiques suivants ont été générés dans le répertoire de sortie:
  1. trades_per_day.png - Nombre de trades par jour
  2. daily_pnl.png - Profit/Perte quotidien
  3. trades_by_symbol.png - Distribution des trades par symbole
  4. trades_by_side.png - Distribution des trades par type (achat/vente)

================================================================================
CONCLUSION
================================================================================

La session de trading a été profitable avec un gain net de 2.98 USDC.
ROI: 0.30%
